Date,OpenAlex,Dimensions,Web of Science
2023_12_31,108,82,32
2024_01_01,108,82,32
2024_01_02,111,82,34
2024_01_03,111,82,34
2024_01_04,115,82,35
2024_01_05,134,95,35
2024_01_06,134,95,37
2024_01_07,142,95,39
2024_01_08,142,95,39
2024_01_09,156,140,40
2024_01_10,156,140,42
2024_01_11,156,144,42
2024_01_12,156,148,46
2024_01_13,156,158,47
2024_01_14,156,167,52
2024_01_15,156,181,54
2024_01_16,156,199,59
2024_01_17,156,207,59
2024_01_19,237,209,65
2024_01_20,243,209,65
2024_01_21,248,209,72
2024_01_22,248,242,77
2024_01_23,270,241,90
2024_01_24,270,248,97
2024_01_25,283,246,105
2024_01_26,283,245,120
2024_01_27,325,242,125
2024_01_29,347,307,131
2024_01_30,347,313,140
2024_01_31,347,331,143
2024_02_01,391,345,143
2024_02_02,391,352,156
2024_02_03,427,352,171
2024_02_04,435,352,178
2024_02_05,436,406,189
2024_02_06,438,406,209
2024_02_07,447,430,215
2024_02_08,476,430,215
2024_02_09,476,430,225
2024_02_10,512,430,242
2024_02_11,522,443,253
2024_02_12,528,471,275
2024_02_13,528,486,280
2024_02_14,542,492,288
2024_02_15,548,492,303
2024_02_16,548,495,308
2024_02_17,567,495,315
2024_02_18,567,517,319
2024_02_19,584,517,329
2024_02_20,584,517,334
2024_02_21,618,517,339
2024_02_22,630,553,345
2024_02_23,642,556,345
2024_02_24,650,585,354
2024_02_25,650,601,364
2024_02_26,659,609,371
2024_02_27,661,618,375
2024_02_28,661,618,375
2024_02_29,678,618,379
2024_03_01,678,620,402
2024_03_02,678,620,411
2024_03_03,678,620,411
2024_03_04,678,620,419
2024_03_05,678,633,426
2024_03_06,735,634,427
2024_03_07,751,696,437
2024_03_08,751,696,437
2024_03_09,782,696,459
2024_03_11,792,750,479
2024_03_12,792,750,479
2024_03_14,810,769,498
2024_03_15,810,776,498
2024_03_16,827,776,510
2024_03_17,832,800,517
2024_03_18,832,808,517
2024_03_19,843,808,526
2024_03_20,843,822,532
2024_03_21,863,822,552
2024_03_22,866,822,552
2024_03_23,873,862,555
2024_03_24,891,862,565
2024_03_25,891,878,578
2024_03_26,898,878,591
2024_03_27,898,882,593
2024_03_28,920,899,599
2024_03_29,920,903,619
2024_03_30,920,919,619
2024_04_01,963,942,654
2024_04_02,966,951,654
2024_04_03,966,956,686
2024_04_04,1002,959,694
2024_04_05,1002,962,708
2024_04_06,1024,962,725
2024_04_07,1026,962,739
2024_04_08,1026,1010,739
2024_04_09,1027,1027,745
2024_04_10,1027,1027,751
2024_04_11,1045,1036,763
2024_04_12,1063,1036,766
2024_04_13,1105,1036,790
2024_04_14,1114,1040,805
2024_04_15,1114,1040,818
2024_04_16,1152,1040,818
2024_04_17,1152,1085,830
2024_04_18,1187,1103,830
2024_04_19,1187,1110,846
2024_04_20,1221,1120,851
2024_04_21,1232,1120,866
2024_04_22,1232,1120,876
2024_04_23,1248,1151,884
2024_04_24,1248,1151,884
2024_04_25,1258,1166,906
2024_04_26,1258,1166,921
2024_04_27,1280,1166,938
2024_04_28,1291,1166,945
2024_04_29,1291,1203,952
2024_04_30,1298,1203,957
2024_05_01,1298,1203,969
2024_05_02,1317,1203,982
2024_05_03,1321,1203,993
2024_05_04,1324,1252,1007
2024_05_06,1335,1263,1018
2024_05_07,1335,1263,1018
2024_05_08,1403,1301,1019
2024_05_09,1409,1301,1020
2024_05_10,1409,1338,1020
2024_05_13,1450,1379,1057
2024_05_14,1450,1393,1065
2024_05_15,1468,1399,1070
2024_05_16,1468,1416,1070
